time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,x_coord,y_coord,MODIS_GPP,GOSIF_GPP,DIFFUSE_GPP,CABLE_BIOS_NEE,CABLE_BIOS_GPP,CABLE_BIOS_ER,This_Study_NEE,This_Study_GPP,This_Study_ER,FLUXCOM_RS_GPP,FLUXCOM_RS_NEE,FLUXCOM_RS_ER
2002-02-15,2.88412260568872,168.9713769594108,171.85549956509954,77.88606651428887,14.195960892224921,0.22448382427659808,75.80365088918809,143.0,145.87838899062754,78.99357341247484,56.389691907854825,222.23323458279887,328.54015239452593,338.2148948334122,3.9465765010260485,0.48700723,148.1516,-35.6566,291.51556,146.1258,,,,,,,,,,125.60656
2002-03-15,-53.468364989871034,230.53010095004015,177.06173596016913,93.49948368757552,14.288844086021507,0.18003037780613998,64.19011040967791,35.8,85.8550134408602,85.65200611403648,53.79679031356697,241.13755376344085,306.1766115763704,335.739011156778,5.876584611998503,0.514989,148.1516,-35.6566,232.82616,150.4781,,,,,,,,,,122.82373
2002-04-15,-44.97837458283945,180.86579348567537,135.88741890283592,56.205904725849614,12.026055555555557,0.18175796516675394,73.8767812081495,20.4,56.64783042572338,53.20478697351258,31.060860083566432,166.04616666666666,299.33098104633586,338.4966614292016,3.690338700070101,0.55484825,148.1516,-35.6566,143.21747,112.2566,,,,,,,,,,110.23945
2002-05-15,-37.60537741426591,120.04642100137042,82.4410435871045,32.8793419373446,6.679879032258064,0.20072678186724238,78.17454417611127,101.2,26.130634921087182,30.1197555919462,19.675087706506197,103.91280913978495,281.93820942327477,337.981332742368,2.1431491658504083,0.5639758,148.1516,-35.6566,114.792595,78.5789,,,,,,,,,,80.54852
2002-06-15,-31.50910449216055,94.99467618743302,63.48557169527247,29.347870135918622,3.802834476940912,0.2434327736999357,84.21720802601814,190.8,13.625902770037142,27.78083879841433,16.866340579857493,81.57578506625232,280.8169829914646,338.6466937781217,1.2669126671568602,0.5607355,148.1516,-35.6566,61.503666,60.409,,,,,,,,,,63.68535
2002-07-15,-49.74524150727608,85.72445518899264,35.97921368171656,25.777998609600125,2.8729982206896465,0.24799774241702346,78.34133978920487,148.6,23.08497685395371,23.614433015425206,14.897330229363394,102.95481171603885,264.2027304555734,339.4787849538132,1.6274825825506456,0.52946734,148.1516,-35.6566,86.13243,61.747,,,,,,,,,,62.545475
2002-08-15,-49.09783445985151,103.74328253907635,54.64544807922484,33.33647943695093,3.368134503230875,0.24289774372469944,75.62359468949388,59.800000000000004,50.49291529463303,30.538525218975064,38.87967310644427,141.24402882423104,258.9158916971791,337.72603589631683,1.8973588472955876,0.504775,148.1516,-35.6566,128.10086,75.7914,,,,,,,,,,69.590614
2002-09-15,-49.52646108876789,132.4722960414563,82.94583495268841,47.47985727787558,5.55213510378046,0.24067637349798765,72.97476737753678,163.2,84.18870918000825,44.94466736766803,47.95841633456477,181.7956698243986,272.2099336799178,337.88304368274686,2.453383512928433,0.4753259,148.1516,-35.6566,140.36038,87.3497,,,,,,,,,,76.220795
2002-10-15,-67.28629854245844,187.05148521881003,119.7651866763516,65.72252377276543,7.295940860215054,0.20636021505376345,61.2891419081755,18.8,126.84733870967743,60.20638602481229,83.39865643823296,244.91728494623658,280.2792944527959,324.8551758043766,3.9667086993701814,0.41924277,148.1516,-35.6566,195.67334,114.2789,,,,,,,,,,93.67084
2002-11-15,-124.6330235195102,277.8412741483669,153.20825062885675,64.66498282329152,13.11522222222222,0.14905582589905575,53.16511221288758,22.4,158.12331944444446,61.21219207377626,80.733351670743,287.2275694444444,305.188835477587,330.0353699290961,7.113186676215601,0.37693,148.1516,-35.6566,290.7426,130.1471,,,,,,,,,,113.25332
