,site,Lon,Lat,start_date,end_date,Rainfall (mm y⁻¹),Temp. (C)
0,Adela,131.1178,-13.0769,2007-11,2009-5,1124.0,27.477862152412516
1,Alice,133.249,-22.283,2010-10,2022-6,303.2615381538462,23.21443203931981
2,Boyag,116.938559,-32.477093,2017-11,2022-6,362.51009229069905,17.1554018556347
3,Calpe,140.5875,-34.0027,2010-8,2022-6,232.16844344947825,18.073940173171202
4,CapeT,145.446922,-16.103219,2010-1,2018-11,4042.1998628888887,24.094865371851043
5,Colli,116.23700000000001,-33.42,2017-9,2019-11,492.12820512820514,15.6078164701263
6,CowBa,145.42715,-16.238189,2009-2,2022-6,3138.193371099307,24.240943013232744
7,Cumbe,150.723611,-33.615278,2014-1,2022-6,895.6222222222223,18.39489080446124
8,DryRi,132.3706,-15.258799999999999,2009-11,2022-6,776.9062983174342,27.494377605232184
9,Emera,148.4746,-23.85872,2011-7,2013-12,523.8333333344975,21.541689437531698
10,FoggD,131.3072,-12.5452,2006-3,2008-10,1487.0,25.39987173662585
11,Gingi,115.71377000000001,-31.376351,2011-11,2021-6,567.5554831393084,18.735734347629343
12,Great,120.65416666666667,-30.191399999999998,2013-2,2022-6,281.7799995,19.68972252307289
13,Litch,130.7945459,-13.17904178,2015-7,2022-5,1277.074997125,26.482109129217406
14,Longr,144.31041571964502,-23.523265764497285,2018-11,2022-6,216.30424856240234,25.37686303337832
15,Otway,142.81,-38.525,2007-9,2010-12,622.85,12.925929519620468
16,Ridge,116.96682700000001,-32.506102,2016-1,2022-6,576.5302484656773,16.668737815224524
17,Riggs,145.576,-36.656,2011-1,2017-7,445.942869981806,15.62577814252174
18,Robso,145.6301375,-17.11746943,2013-9,2022-6,1739.382797196,19.345277081352126
19,Samfo,152.87778,-27.38806,2010-7,2017-12,1097.224996375,19.424238241250432
20,Silve,147.0875,-42.090556,2020-1,2021-12,841.9211737403438,7.27735842909658
21,Sturt,133.3502,-17.150699999999997,2008-9,2022-5,6395.822219847081,26.878329445497172
22,TiTre,133.64,-22.286999999999995,2012-8,2022-1,247.30720731660602,24.588740924707317
23,Tumba,148.1516,-35.6566,2002-12,2022-5,1030.6070181113287,10.18881515241707
24,Walla,145.1878,-37.4259,2005-9,2013-4,596.1068567251672,11.403521086205922
25,Warra,146.65452,-43.09502,2013-4,2021-9,1245.7647533987754,10.300866605516095
26,Whroo,145.0294,-36.6732,2012-1,2022-6,334.43964214466376,15.584246655264518
27,Womba,144.094046,-37.422506,2010-2,2021-5,810.1813374874702,11.296255695805797
28,Yanco,146.2908,-34.9878,2013-2,2022-6,642.0068895765087,17.391574120474964
