time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,LST_RS,trees_RS,grass_RS,bare_RS,C4_grass_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,VegH_RS,x_coord,y_coord
2017-11-15,-25.221076578998613,97.96494226266776,72.74386568366914,51.71556258141821,19.084580676388892,0.05452438406512591,53.02278553141299,5.242274723598291,198.43481577920724,48.9542069250647,107.48612269414777,331.1468818259231,325.8821046515697,395.9197388716109,10.510205659728355,0.18889008,1.1720057,33.72238,0.31516385,0.3150724,0.36976376,0.16463514,13.164873,8.527648,-0.105623506,18.75796,1.0849454,1.1384645,1.1103542,1.3236816,26.466291,0.9958996,20.698864,20.557508,1.0768036,2.7889862,6.477031,116.938559,-32.477093
2017-12-15,-19.743559588249582,91.63659810665534,71.89303851840577,45.82837649744049,20.6577443125,0.05555628484789972,49.80524247532893,25.916694735927727,195.31984207734214,41.981968553658895,129.4269132547143,359.93093830732664,329.7476847464285,392.91513533527797,12.404483292825887,0.170651,1.1090589,38.607086,0.31516385,0.3150724,0.36976376,0.16463514,16.753206,8.527648,-0.10396209,20.706522,1.4807751,1.176076,1.2620674,1.3042046,28.481611,0.9707533,23.016806,21.85388,0.9966071,2.7889862,6.477031,116.938559,-32.477093
2018-01-15,-7.922605327319891,82.3714236584249,74.448818331105,50.36950132179965,21.521482832661288,0.048181918548387104,54.21587523838279,62.800001,188.00564702619425,46.14195357047777,136.3154884764489,352.31663705882397,341.7792507392473,391.11415726266426,11.944164386964498,0.18727721,1.1913509,37.46515,0.31516385,0.3150724,0.36976376,0.16463514,14.319843,8.527648,-0.09926792,57.23123,3.0468683,1.9126241,1.4353094,1.3701959,28.033577,0.97733766,21.80786,23.145306,0.976175,2.7889862,6.477031,116.938559,-32.477093
2018-02-15,-10.345366843709296,76.50070144949545,66.15533460578615,35.0314071730224,21.328317425595237,0.03985059516369047,57.18160379569814,13.6,160.011931544083,35.529538954913924,117.12967371936442,310.05414431228274,345.2283962797619,386.8024308073142,11.036290725253192,0.20228787,1.1762491,35.331787,0.31516385,0.3150724,0.36976376,0.16463514,12.460197,8.527648,-0.09033316,17.634005,1.101517,1.9124334,1.4256142,1.0923797,25.311201,0.9858747,19.31932,22.87159,0.9674368,2.7889862,6.477031,116.938559,-32.477093
2018-03-15,-1.7858574818820232,70.46559194730943,68.67973446542742,29.105456926734618,20.459079259408604,0.03700195932795699,58.15505753291119,4.0,113.7461028952241,26.662615410482402,89.04479769080909,251.48556555114786,355.29557862903226,388.43267621108885,10.212541694765129,0.22637093,1.1521516,30.851624,0.31516385,0.3150724,0.36976376,0.16463514,9.058228,8.527648,-0.07613271,6.6101975,0.2932983,1.4211676,1.2745088,1.0418268,20.957558,0.99703735,18.113064,21.793396,1.014083,2.7889862,6.477031,116.938559,-32.477093
2018-04-15,0.05875142516438636,62.17695011206239,62.23570153722678,22.183976040796708,17.063100549305556,0.03526268669270833,66.09006838673525,9.600000000000001,85.65070103255958,20.99946127071713,55.444339390300584,192.14045127279994,339.62187060500736,388.3410204884918,6.6658668232986305,0.25032508,1.0698119,24.235474,0.31516385,0.3150724,0.36976376,0.16463514,6.465479,8.527648,-0.058804076,11.540349,0.4436557,0.5542987,1.1341455,1.0581465,16.298325,1.0433619,11.663508,17.769995,1.0095326,2.7889862,6.477031,116.938559,-32.477093
2018-05-15,6.299076689234775,55.51104865855149,61.81012534778627,19.706477229218958,14.7488871202957,0.04141758677923387,58.28148030361546,36.2,50.181803824133524,18.05249870430542,33.76940344064668,149.71007831064705,330.77165110786416,386.1893528401906,7.055982308097949,0.27721024,0.9874667,19.531555,0.31516385,0.3150724,0.36976376,0.16463514,5.404664,8.527648,-0.065482676,37.341175,0.7341763,0.55820656,0.99908066,1.0723191,12.917806,1.0899994,10.114794,14.126891,1.0307488,2.7889862,6.477031,116.938559,-32.477093
2018-06-15,19.67915089045422,51.42289226757507,71.10204315802929,25.682031814574735,11.422521165277779,0.05435291656597223,77.25091379243759,101.19999899999999,15.890005612530516,24.31073814052491,14.419303164978787,103.87115217840278,337.9681009027778,393.5148775033795,3.0865240337655693,0.33478716,1.0638144,13.638489,0.31516385,0.3150724,0.36976376,0.16463514,2.7373295,8.527648,-0.042555377,87.13233,1.3895291,0.9744532,1.1045136,1.1851499,9.609334,0.9801419,4.152558,10.901159,0.978308,2.7889862,6.477031,116.938559,-32.477093
2018-07-15,15.163047535973313,59.203944357618646,74.36699189359197,32.62146922557908,11.148900458333335,0.061761957970430104,77.40892405035157,79.80000100000001,22.24328935713823,29.883526318653235,13.49578407454467,112.3822928857789,337.83175887096775,394.2297749548311,3.0093234978697034,0.3346209,1.0137377,13.093842,0.31516385,0.3150724,0.36976376,0.16463514,2.278574,8.527648,-0.04251761,86.22123,1.084859,1.104852,0.9609936,1.1470791,10.137916,0.98790884,3.8251266,10.815268,1.0741382,2.7889862,6.477031,116.938559,-32.477093
2018-08-15,-1.677112394589118,72.812576641896,71.13546424730687,40.68098104165642,9.93873988844086,0.0699719025655242,76.76106510549833,90.999999,48.194439478602604,37.266597626869846,27.60790223738259,151.45600591913237,328.24787231182796,393.77786023788195,2.8529700993247724,0.32461905,1.0636731,15.415894,0.31516385,0.3150724,0.36976376,0.16463514,5.6497383,8.527648,-0.029577764,88.5714,1.3546579,1.2688574,1.0403372,1.1461799,12.855238,0.9762418,4.0385838,9.766155,0.9201176,2.7889862,6.477031,116.938559,-32.477093
2018-09-15,-9.438554448557548,69.36557292111036,59.9270184725528,37.96875632631347,11.877578978472222,0.04150674050347222,70.3626090836466,10.4,86.21058228881944,35.94141223851957,58.1538600015893,209.04401731490282,331.34748055555553,393.2786427593854,4.145461336227692,0.28923276,1.106063,18.701782,0.31516385,0.3150724,0.36976376,0.16463514,7.0505085,8.527648,-0.03026297,10.310402,0.24251291,0.9878767,0.9881575,1.0535291,18.779686,1.0513065,7.0209746,11.651274,0.9731842,2.7889862,6.477031,116.938559,-32.477093
2018-10-15,-9.767503840326441,83.27265311039159,73.50514927006515,48.58982254220436,14.670676407592236,0.041603095218413974,70.68572561351625,35.599999999999994,120.27685563733813,44.51164448534671,72.40104627273853,241.56627745845225,360.2118559139785,394.91493688082033,4.9326747935358295,0.23809429,1.1790196,26.528107,0.31516385,0.3150724,0.36976376,0.16463514,10.432009,8.527648,-0.026500357,44.28508,1.7771505,1.077927,1.093798,1.0892667,22.066305,0.95269,10.176287,16.096098,1.0447268,2.7889862,6.477031,116.938559,-32.477093
