time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,LST_RS,trees_RS,grass_RS,bare_RS,C4_grass_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,VegH_RS,x_coord,y_coord
2011-01-15,22.268667137035532,58.98451450770456,72.71421565482468,72.71421565482468,23.412377076612902,0.2700875324260753,59.6511477911224,74.0,189.30687844617108,66.61126027877756,67.73108766066946,304.53547597602176,382.1300134408603,349.2302151768461,11.838171421678686,0.16107845,2.147699,33.364227,0.12000654,0.7723072,0.10768627,0.5453266,10.518991,10.0,-0.074735165,89.85918,2.2230508,2.144598,2.1884158,1.7644571,24.968767,0.92979187,14.82894,22.845236,0.9825876,4.240054,1.2914661,145.576,-36.656
2011-02-15,-5.518841139699273,91.6821172831286,83.71594762393312,83.71594762393312,21.416600499999998,0.31445013058035715,67.64017987033107,147.79999999999998,158.12824850547486,84.90635296382372,33.59251305048248,246.74468795172695,379.7293948660714,355.39155690199897,8.386838037143221,0.2466442,2.762461,26.955536,0.12000654,0.7723072,0.10768627,0.5453266,5.741932,10.0,-0.06421141,126.98933,3.5584326,2.6683624,2.4333017,1.8830444,21.344702,0.88528854,10.931428,21.213604,0.94857687,4.240054,1.2914661,145.576,-36.656
2011-03-15,-29.32340904012202,124.57033741977378,67.1954864706259,67.1954864706259,18.446752516801077,0.19115293393817204,68.60716559148798,58.0,117.75254361906482,61.55572192515221,28.896704885880563,217.09843921341164,347.57743776881716,355.1924648660482,6.7438508303225095,0.3172577,2.833499,26.047668,0.12000654,0.7723072,0.10768627,0.5453266,7.6277905,10.0,-0.06597783,62.58534,1.6706034,2.4604301,2.4215744,1.8127471,18.270487,0.93491685,8.861432,18.419878,0.9301838,4.240054,1.2914661,145.576,-36.656
2011-04-15,-6.065377516779059,92.21378261620029,38.00992595822049,38.00992595822049,14.322456295833334,0.21174779472222222,73.49766594860915,51.199999999999996,79.78262092106974,35.98038361538958,26.329348901044757,163.04905130191474,328.9773298611111,357.0185857708351,4.358782165184428,0.304473,1.9014612,22.194519,0.12000654,0.7723072,0.10768627,0.5453266,7.9770594,10.0,-0.056270745,44.172523,1.0206261,2.00763,2.0655255,1.7901226,13.992225,0.9953387,7.084686,14.21746,0.90923905,4.240054,1.2914661,145.576,-36.656
2011-05-15,-2.270116638212059,82.34410852203112,24.65963510238249,24.65963510238249,10.495344774375331,0.21308820638440856,77.40376254978523,43.6,37.59911534144799,22.58993454570105,10.924440466606587,101.22101019484512,317.5230175403226,350.0576267900683,2.8804486751016447,0.3294314,1.209556,15.107086,0.12000654,0.7723072,0.10768627,0.5453266,4.7823963,10.0,-0.032351404,34.00972,0.78367937,1.1339418,1.8826765,1.7685885,9.27024,0.9919654,4.3205185,10.32469,0.89264655,4.240054,1.2914661,145.576,-36.656
2011-06-15,7.471299282991154,76.46468180191474,21.602997658734196,21.602997658734196,9.392497698260687,0.31129985805555555,80.0536241574113,24.0,32.37642695432227,20.449504265227713,7.077226699214425,94.59146219031102,310.1930892361111,353.3802135054028,2.359628429835251,0.36791605,0.9413874,12.602692,0.12000654,0.7723072,0.10768627,0.5453266,3.582818,10.0,-0.017606527,34.611324,0.6195608,0.7913026,1.5314636,1.7200962,7.6571774,1.0554166,3.6790159,9.019874,1.0060828,4.240054,1.2914661,145.576,-36.656
2011-07-15,-6.175038269476829,86.10811264435335,27.033510273425836,27.033510273425836,9.079057473493497,0.421286594871607,78.72801723398099,50.6,31.78723896242794,24.7645687002978,1.2273004748030896,93.0828057036841,311.06577123655916,349.0831699736645,2.463316836631698,0.4079,0.8583046,12.265076,0.12000654,0.7723072,0.10768627,0.5453266,3.7517986,10.0,-0.0056263823,59.411835,0.9888741,0.80619437,1.3173283,1.7437414,7.674551,1.0080154,3.341421,8.513277,1.0046448,4.240054,1.2914661,145.576,-36.656
2011-08-15,-14.413356143368539,96.91631193957986,37.080689209404014,37.080689209404014,10.66038855514785,0.44605169096755387,77.114477548812,62.6,60.14597482445474,33.96848082593851,8.209271826581615,133.811670460903,315.0234946339474,350.92391214153633,2.949976274550855,0.44720984,0.8503892,14.738983,0.12000654,0.7723072,0.10768627,0.5453266,4.3787346,10.0,0.009332845,67.95297,1.2615062,0.9569487,1.0397614,1.6760733,11.163799,1.0386686,4.839797,10.360249,1.1180801,4.240054,1.2914661,145.576,-36.656
2011-09-15,-51.41407430902619,118.94221017214173,53.25693645776103,53.25693645776103,11.795255182082006,0.2839625779271097,73.1750219747017,53.19999999999999,94.22329524554573,50.41327904813366,19.41417247913345,192.5281134154478,315.23551849936774,354.233621240996,3.7314918391553937,0.4578567,0.8663655,19.762177,0.12000654,0.7723072,0.10768627,0.5453266,7.9333572,10.0,0.013757854,52.02785,1.2383735,1.1502486,0.9872754,1.6300453,16.194733,1.032481,7.287515,11.828819,1.0244535,4.240054,1.2914661,145.576,-36.656
2011-10-15,-69.64483190442104,135.87787769069968,68.95151105132807,68.95151105132807,14.81445500984817,0.23088114360707093,70.75022920968135,9.374539732026781,138.62661754912506,63.16436212497706,33.83064434255612,239.50680947664534,341.72840700821496,379.99029991873203,4.968389918913262,0.4130543,1.0005184,26.267517,0.12000654,0.7723072,0.10768627,0.5453266,11.38764,10.0,0.018568605,25.47641,0.6984289,1.098982,0.93928707,1.4618126,20.54107,0.975849,8.6798725,14.879877,1.0104607,4.240054,1.2914661,145.576,-36.656
